Unnamed: 0,cluster,star,element,synth_teff,synth_teff_err,synth_logg,synth_logg_err,synth_MH,synth_MH_err,synth_vmic,synth_vmic_err,synth_vmac,synth_vmac_err,synth_vsini,synth_vsini_err,synth_R,synth_R_err,vel_atomic,vel_atomic_err,synth_x_over_h,synth_x_over_h_err,synth_absolute_abund,synth_absolute_abund_err,synth_nlines,snr
25,FSR_0278,G2180302768725634688,Al 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.05954125177084023,0.0142,6.5259,0.0127,3.0,70.0
26,FSR_0278,G2180302768725634688,Ba 2,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.07613851762584384,0.0163,2.1975,0.0064,2.0,70.0
27,FSR_0278,G2180302768725634688,Ca 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.029721311870832254,0.0327,6.3626,0.0866,20.0,70.0
28,FSR_0278,G2180302768725634688,Co 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.02398447261419641,0.0397,4.9239,0.1103,18.0,70.0
29,FSR_0278,G2180302768725634688,Cr 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.010505739280542464,0.0941,5.6099,0.0788,12.0,70.0
30,FSR_0278,G2180302768725634688,Cu 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.09827306155776494,0.1108,4.0167,0.1294,2.0,70.0
31,FSR_0278,G2180302768725634688,Fe 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.030335815475673947,0.0638,7.4163,0.0791,101.0,70.0
32,FSR_0278,G2180302768725634688,Fe 2,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.03387047736038715,0.0779,7.2626,0.1154,3.0,70.0
33,FSR_0278,G2180302768725634688,Mg 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.02939856695633861,0.0873,7.5327,0.0995,4.0,70.0
34,FSR_0278,G2180302768725634688,Mn 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.006631809034930672,0.0362,5.4934,0.2328,6.0,70.0
35,FSR_0278,G2180302768725634688,Mo 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.028225000000000014,0.1327,2.18,0.1327,1.0,70.0
36,FSR_0278,G2180302768725634688,Na 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.10896055433045145,0.0395,6.5664,0.039,3.0,70.0
37,FSR_0278,G2180302768725634688,Nd 2,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.004461283872741556,0.005,1.4293,0.0342,2.0,70.0
38,FSR_0278,G2180302768725634688,Ni 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.018420770159158037,0.0574,6.2468,0.0641,30.0,70.0
39,FSR_0278,G2180302768725634688,Pr 2,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.04085,0.1536,1.1078,0.1464,1.0,70.0
40,FSR_0278,G2180302768725634688,Sc 2,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.00037028861429792836,0.0539,3.2332,0.1233,5.0,70.0
41,FSR_0278,G2180302768725634688,Si 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.15461923081419113,0.0822,7.6509,0.0419,8.0,70.0
42,FSR_0278,G2180302768725634688,Ti 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.06958988977029489,0.0468,4.8335,0.0739,11.0,70.0
43,FSR_0278,G2180302768725634688,Ti 2,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.04830587990180288,0.0978,4.8377,0.1403,11.0,70.0
44,FSR_0278,G2180302768725634688,V 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.003910639927444531,0.0649,3.8246,0.0829,16.0,70.0
45,FSR_0278,G2180302768725634688,Y 2,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,0.2674027674326841,0.0269,2.4279,0.0119,2.0,70.0
46,FSR_0278,G2180302768725634688,Zn 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.08658393596288015,0.1301,4.2327,0.1285,1.0,70.0
47,FSR_0278,G2180302768725634688,Zr 1,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.204625,0.1437,2.4685,0.1412,1.0,70.0
48,FSR_0278,G2180302768725634688,Zr 2,4769.52,18.4,2.59,0.04,-0.11,0.03,1.38,0.02,4.04,0.0,3.93,0.09,45000.0,0.0,-0.24,0.23,-0.363725,0.1838,2.2666,0.1827,1.0,70.0
49,FSR_0278,G2181046618396001280,Al 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.04484125177084023,0.0311,6.5172,0.053,3.0,70.0
50,FSR_0278,G2181046618396001280,Ba 2,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.035238517625843846,0.0115,2.1566,0.0113,2.0,70.0
51,FSR_0278,G2181046618396001280,Ca 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.07042131187083225,0.0602,6.4394,0.0878,19.0,70.0
