mass,Hydrogen,Helium,Carbon,Nitrogen,Oxygen,Neon,Magnesium,Silicon,Sulphur,Calcium,Iron,total_metal,total_ejected
0.85,-0.004967683,0.004963173,-2.27E-05,2.73E-05,-6.01E-08,0,0,0,0,0,0,4.51E-06,0.3029428
0.918,-0.006282865,0.006276392,-3.46E-05,4.12E-05,-9.98E-08,0,0,0,0,0,0,6.47E-06,0.37689015
0.992,-0.007602886,0.007592248,-5.31E-05,6.39E-05,-1.58E-07,0,0,0,0,0,0,1.06E-05,0.44844857
1.071,-0.008771076,0.008753532,-9.40E-05,1.12E-04,-2.59E-07,0,0,0,0,0,0,1.75E-05,0.52546644
1.154,-0.009877765,0.009842458,-1.95E-04,2.31E-04,-5.74E-07,0,0,0,0,0,0,3.53E-05,0.59793514
1.239,-0.011014869,0.010972134,-2.36E-04,2.79E-04,-7.00E-07,0,0,0,0,0,0,4.27E-05,0.6786081
1.315,-0.010011616,0.009956315,-3.07E-04,3.64E-04,-8.82E-07,0,0,0,0,0,0,5.53E-05,0.74831164
1.407,-0.01040832,0.010343473,-3.62E-04,4.28E-04,-1.11E-06,0,0,0,0,0,0,6.48E-05,0.82458556
1.499,-0.0203707,0.017375926,0.002302586,5.56E-04,1.36E-04,0,0,0,0,0,0,0.002994774,0.9158728
1.583,-0.030262874,0.024642522,0.004573721,7.87E-04,2.60E-04,0,0,0,0,0,0,0.005620353,1.0027224
1.667,-0.038295943,0.03037363,0.006584925,0.001010343,3.27E-04,0,0,0,0,0,0,0.007922314,1.0756618
1.75,-0.047204103,0.03676734,0.008913491,0.001084266,4.39E-04,0,0,0,0,0,0,0.010436763,1.1551294
1.832,-0.05651737,0.04370245,0.011106413,0.001213937,4.95E-04,0,0,0,0,0,0,0.01281492,1.2186584
1.85,-0.058718845,0.045387965,0.011580456,0.001248327,5.02E-04,0,0,0,0,0,0,0.01333088,1.2347344
1.9,-0.06517367,0.050527606,0.012774723,0.001365464,5.06E-04,0,0,0,0,0,0,0.014646061,1.2874898
2,-0.07861604,0.0604168,0.01608822,0.001530398,5.81E-04,0,0,0,0,0,0,0.018199239,1.373
2.2,-0.10404433,0.0807219,0.02079817,0.00196298,5.61E-04,0,0,0,0,0,0,0.023322431,1.549
2.5,-0.13873455,0.1081009,0.0275124,0.002557362,5.64E-04,0,0,0,0,0,0,0.03063365,1.815
3,-0.18057808,0.1403341,0.0362676,0.00335743,6.19E-04,0,0,0,0,0,0,0.04024398,2.214
3.5,-0.16843563,0.1360022,0.0283384,0.004235654,-1.41E-04,0,0,0,0,0,0,0.032433435,2.657
4,-0.152182,0.1316769,0.0164458,0.005246819,-0.00118752,0,0,0,0,0,0,0.0205051,3.098
4.5,-0.19833425,0.1829427,0.0109713,0.00689143,-0.00247118,0,0,0,0,0,0,0.01539155,3.542
5,-0.3037018,0.28657755,0.007862,0.01325466,-0.00399243,0,0,0,0,0,0,0.017124228,4.003
6,-0.5144369,0.49384725,0.0016434,0.02598112,-0.00703493,0,0,0,0,0,0,0.020589584,4.925
