mass,Hydrogen,Helium,Carbon,Nitrogen,Oxygen,Neon,Magnesium,Silicon,Sulphur,Calcium,Iron,total_metal,total_ejected
6,-0.2565648,0.2641,-0.0072753,0.01252628,-0.00586402,-0.006922156,0,0,0,0,0,-0.007535196,4.7
7,-0.54364836,0.5528,-0.01031661,0.02011084,-0.01053911,-0.008406761,0,0,0,0,0,-0.009151641,5.7
9,-1.1973461,0.83548,0.03467553,0.03060462,0.09646194,0.007632244,0.003009583,0.07113944,0.05920212,0.01134289,0.04779771,0.3618661,7.694434
12,-2.1658905,0.99803,0.117789,0.04145321,0.600155,0.10672249,0.02276667,0.104084,0.05696509,0.009748136,0.108177,1.1678605,10.560174
15,-2.9794624,1.02327,0.201324,0.05047457,1.13413,0.15466352,0.0299653,0.20415,0.08939855,0.009535508,0.08255099,1.9561924,13.125072
20,-4.734793,1.00403,0.190786,0.06619161,2.57454,0.18547644,0.06065789,0.323011,0.149099,0.01574583,0.165255,3.7307632,17.892916
30,-5.6222925,1.89099,0.193987,0.0996539,2.8349,0.46405593,0.112856,0.02584964,0,0,0,3.7313025,22.816444
40,-13.965042,8.42232,2.84013,0.164304,1.65203,0.3512367,0.02074183,0.273618,0.13929,0.01304994,0.08832007,5.5427213,37.94062
60,-23.95511,15.92467,4.64358,0.271584,2.05105,0.37363148,0.02863301,0.322671,0.158017,0.01523592,0.166038,8.03044,57.909603
100,-44.361958,28.07213,10.9117,0.560859,3.23853,0.8985,0.08424714,0.306979,0.137304,0.01545678,0.136249,16.289827,97.881065
120,-53.61594,41.02441,8.04695,0.867289,2.2719,0.686845,0.05729675,0.325295,0.15078,0.01578701,0.169388,12.591531,117.89461
