mass,4.00E-04,0.004,0.008,0.02,0.05,1
0.6,4.28E+10,5.35E+10,6.47E+10,7.92E+10,7.18E+10,2.66E+10
0.7,2.37E+10,2.95E+10,3.54E+10,4.45E+10,4.00E+10,1.47E+10
0.8,1.41E+10,1.73E+10,2.09E+10,2.61E+10,2.33E+10,8.83E+09
0.9,8.97E+09,1.09E+10,1.30E+10,1.59E+10,1.42E+10,5.79E+09
1,6.03E+09,7.13E+09,8.46E+09,1.03E+10,8.88E+09,4.08E+09
1.1,4.23E+09,4.93E+09,5.72E+09,6.89E+09,5.95E+09,3.00E+09
1.2,3.08E+09,3.52E+09,4.12E+09,4.73E+09,4.39E+09,2.28E+09
1.3,2.34E+09,2.64E+09,2.92E+09,3.59E+09,3.37E+09,1.78E+09
1.4,1.92E+09,2.39E+09,2.36E+09,2.87E+09,3.10E+09,1.64E+09
1.5,1.66E+09,1.95E+09,2.18E+09,2.64E+09,2.51E+09,1.34E+09
1.6,1.39E+09,1.63E+09,1.82E+09,2.18E+09,2.06E+09,1.11E+09
1.7,1.18E+09,1.28E+09,1.58E+09,1.84E+09,1.76E+09,9.23E+08
1.8,1.11E+09,1.25E+09,1.41E+09,1.59E+09,1.51E+09,7.72E+08
1.9,9.66E+08,1.23E+09,1.25E+09,1.38E+09,1.34E+09,6.53E+08
2,8.33E+08,1.08E+09,1.23E+09,1.21E+09,1.24E+09,5.57E+08
2.5,4.64E+08,5.98E+08,6.86E+08,7.64E+08,6.58E+08,2.78E+08
3,3.03E+08,3.67E+08,4.12E+08,4.56E+08,3.81E+08,1.61E+08
4,1.61E+08,1.82E+08,1.93E+08,2.03E+08,1.64E+08,7.08E+07
5,1.01E+08,1.11E+08,1.15E+08,1.15E+08,8.91E+07,3.97E+07
6,7.15E+07,7.62E+07,7.71E+07,7.45E+07,5.67E+07,2.50E+07
7,5.33E+07,5.61E+07,5.59E+07,5.31E+07,3.97E+07,1.80E+07
9,3.42E+07,3.51E+07,3.44E+07,3.17E+07,2.33E+07,1.16E+07
12,2.13E+07,2.14E+07,2.10E+07,1.89E+07,1.39E+07,6708000
15,1.54E+07,1.52E+07,1.49E+07,1.33E+07,9947100,4619000
20,1.06E+07,1.05E+07,1.01E+07,9150000,6985300,3662700
30,6901800,6851810,6652220,6128800,5151642,2592300
40,5452400,5435640,5301620,5117300,4335700,2117400
60,4199000,4194890,4146460,4115600,3615800,1666700
100,3318900,3380000,3438050,3386100,3114100,1352900
120,3105700,3226200,3323570,3226400,3112700,1287746
